id,body_id,symptom_id
1,16,14
2,16,220
3,48,3
6,30,3
7,30,4
8,26,5
9,100,5
12,34,12
13,20,16
15,98,18
16,98,20
17,98,22
18,98,24
19,98,26
22,98,32
23,88,28
24,88,30
25,98,34
26,98,36
28,98,220
29,98,38
30,98,40
31,98,42
32,16,36
33,16,38
34,16,40
35,16,44
36,98,44
38,24,664
39,24,92
40,24,784
41,84,92
42,100,92
43,100,596
44,26,92
45,34,92
46,34,238
47,38,92
48,58,92
49,58,1588
50,62,92
52,24,46
53,100,46
56,34,46
58,90,92
59,58,46
60,98,12
61,98,48
62,98,50
63,98,52
64,98,54
65,66,54
66,66,508
67,64,54
68,64,696
69,62,54
70,62,696
71,62,1496
73,58,462
74,60,54
75,68,54
76,92,54
77,92,696
78,68,696
79,90,54
80,62,712
81,70,712
82,70,54
83,70,1462
84,70,1636
85,66,712
87,42,712
89,36,712
91,32,712
95,46,712
96,46,1462
97,96,54
99,38,712
101,98,56
104,2,58
105,20,58
106,98,60
109,96,60
110,46,60
111,44,60
112,40,60
113,32,60
114,36,60
115,42,60
116,90,60
117,92,60
118,70,60
119,68,60
120,60,60
121,62,60
122,64,60
123,66,60
124,98,62
125,98,64
126,98,66
127,16,66
128,98,68
129,98,70
130,98,74
131,98,898
133,20,898
134,98,76
136,98,78
138,98,80
139,98,82
140,98,84
141,16,80
142,16,84
143,98,86
144,20,88
145,98,88
146,16,88
147,98,90
148,54,90
149,98,96
150,16,96
151,16,98
152,98,98
153,16,100
154,98,102
155,20,106
156,34,108
157,34,110
158,98,108
159,98,110
160,98,112
161,54,112
162,98,114
163,64,114
164,62,114
165,60,114
167,92,114
168,98,116
170,86,116
171,38,116
172,32,116
173,46,116
174,44,116
175,42,116
177,70,116
178,62,116
179,66,116
181,98,118
182,98,120
183,98,122
184,98,124
185,98,126
186,98,128
187,98,236
188,74,132
189,74,8
190,74,134
191,74,136
192,74,138
193,74,140
194,74,142
195,74,144
196,74,146
197,74,148
198,74,150
199,74,152
200,74,154
201,74,156
202,74,158
203,74,160
204,74,162
205,74,164
206,74,196
207,74,166
208,74,168
209,74,170
210,74,796
211,74,172
212,74,174
213,74,176
214,74,178
215,74,180
216,74,182
217,74,184
218,2,188
219,26,190
220,20,192
221,26,192
222,26,194
223,2,194
224,100,194
225,100,198
226,24,200
230,20,202
231,20,204
232,2,206
233,2,208
234,2,210
235,20,210
236,2,212
237,18,214
238,18,148
239,18,216
240,18,218
241,2,148
242,2,222
243,98,224
245,28,144
246,28,226
247,28,228
248,28,230
250,28,232
251,28,234
252,28,844
253,28,846
254,28,848
255,28,888
256,28,1590
257,28,1638
258,16,1638
259,20,1638
260,22,1638
261,24,1638
262,84,1638
263,2,1638
264,18,1638
265,50,1638
266,48,1638
267,100,1638
268,86,1638
269,26,1638
270,30,1638
271,102,1638
272,38,1638
273,96,1638
274,46,1638
275,44,1638
276,40,1638
277,32,1638
278,36,1638
279,34,1638
280,42,1638
281,90,1638
282,92,1638
283,94,1638
284,70,1638
285,68,1638
286,60,1638
287,62,1638
288,64,1638
289,66,1638
290,58,1638
291,56,1638
292,88,1638
293,54,1638
294,52,1638
295,82,1638
296,80,1638
297,78,1638
298,98,92
299,98,836
300,98,1639
301,74,740
302,54,148
303,54,150
304,54,266
305,54,270
306,54,428
307,54,730
308,54,144
309,54,814
310,20,814
311,2,740
312,16,740
313,18,740
314,20,740
315,22,740
316,24,740
317,26,740
318,28,740
319,30,740
320,32,740
321,34,740
322,36,740
323,38,740
324,40,740
325,42,740
326,44,740
327,46,740
328,48,740
329,50,740
330,52,740
331,54,740
332,56,740
333,58,740
334,60,740
335,62,740
336,64,740
337,66,740
338,68,740
339,70,740
340,78,740
341,80,740
342,82,740
343,84,740
344,86,740
345,88,740
346,90,740
347,92,740
349,96,740
350,100,740
351,102,740
352,26,148
353,28,148
354,30,148
355,32,148
356,34,148
357,36,148
358,38,148
359,40,148
360,42,148
361,44,148
362,46,148
363,48,148
364,50,148
365,52,148
366,56,148
367,58,148
368,60,148
369,62,148
370,64,148
371,66,148
372,68,148
373,70,148
374,78,148
375,80,148
376,82,148
378,86,148
379,88,148
380,90,148
381,92,148
382,96,148
383,100,148
384,102,148
385,16,144
386,22,144
387,24,144
388,26,144
389,30,144
390,32,144
391,34,144
392,36,144
393,38,144
394,40,144
395,42,144
396,44,144
397,46,144
398,48,144
399,50,144
400,52,144
401,56,144
402,58,144
403,60,144
404,62,144
405,64,144
406,66,144
407,68,144
408,70,144
409,78,144
410,80,144
411,82,144
412,84,144
413,86,144
414,88,144
415,90,144
416,92,144
417,94,144
418,96,144
419,100,144
420,102,144
421,20,580
422,26,580
423,100,580
424,2,816
425,16,816
426,18,816
427,20,816
430,26,816
431,28,816
432,30,816
433,32,816
434,34,816
435,36,816
436,38,816
437,40,816
438,42,816
439,44,816
440,46,816
441,48,816
442,50,816
444,54,816
453,74,816
457,84,816
458,86,816
463,96,816
464,100,816
465,102,816
466,18,1208
467,48,318
468,50,318
469,88,322
470,88,1408
471,88,598
472,88,162
473,88,604
474,2,602
475,54,602
476,88,602
477,88,1640
478,20,676
479,100,676
480,20,582
481,20,392
482,100,392
483,20,726
484,20,150
485,52,150
486,56,150
487,58,150
488,60,150
489,88,150
490,20,1362
491,54,806
492,52,806
493,56,806
494,58,806
495,60,806
496,88,806
497,2,150
498,32,492
499,42,492
501,62,492
502,66,492
503,80,492
504,82,492
506,46,492
507,32,478
508,36,478
510,40,478
511,42,478
513,46,478
514,60,478
516,64,478
517,66,478
518,68,478
519,70,478
520,90,478
521,92,478
524,86,492
525,100,492
526,86,1484
527,100,1484
528,16,494
529,22,494
530,26,256
531,78,1532
532,26,1641
533,80,1641
534,78,366
535,82,278
536,78,492
537,2,574
538,88,1606
539,88,1642
540,88,1643
541,20,880
542,20,138
543,54,872
544,18,554
545,2,1644
546,18,1645
547,20,672
548,26,672
549,100,672
550,20,674
551,26,674
552,100,674
553,26,402
554,74,1646
555,74,1647
556,48,352
557,48,330
558,48,1648
559,98,350
560,88,354
562,98,1649
563,98,704
565,20,678
566,54,432
567,54,1084
568,74,1432
569,48,298
570,20,302
571,20,310
572,20,1384
573,20,312
574,100,312
575,20,314
576,48,306
577,48,308
578,48,316
579,50,316
580,16,1034
581,98,1034
582,20,320
583,48,1650
584,54,420
585,50,244
587,52,274
588,74,1651
589,74,1652
590,74,1653
591,56,116
592,60,116
593,46,930
594,46,878
595,46,1452
596,46,160
597,54,434
598,54,418
599,54,426
600,54,738
601,54,456
602,54,412
603,54,460
604,54,1654
605,20,134
606,46,134
607,70,134
608,98,1655
609,60,1655
610,64,1655
611,92,1655
612,98,1252
613,60,1252
614,64,1252
615,92,1252
616,40,34
618,46,34
619,96,34
621,64,34
622,92,34
623,44,34
624,18,1088
625,18,1162
626,18,1656
627,20,1246
628,46,1657
631,18,544
632,18,174
633,20,360
634,16,148
635,16,824
636,36,492
637,38,492
638,40,492
639,44,492
640,56,492
641,60,492
642,64,492
643,68,492
644,70,492
645,96,492
646,102,492
647,16,1000
648,98,1000
649,32,700
650,36,700
651,38,700
652,42,700
653,44,700
654,46,700
655,56,700
656,60,700
657,62,700
658,66,700
659,70,700
660,80,700
661,82,700
662,86,700
663,96,700
664,32,1484
665,36,1484
666,38,1484
667,42,1484
668,44,1484
669,46,1484
670,56,1484
671,60,1484
672,62,1484
673,66,1484
674,70,1484
675,80,1484
676,82,1484
677,96,1484
678,20,658
679,74,658
680,20,144
681,70,1648
682,22,1658
683,38,1658
684,46,1658
685,62,1658
686,68,1658
687,70,1658
688,90,1658
689,46,1450
690,70,1450
691,46,1444
692,70,1444
693,70,1452
694,70,930
695,50,1648
696,26,362
698,28,1659
699,28,850
701,24,1660
702,18,1660
703,24,478
704,56,1660
705,60,1660
706,64,1660
707,68,1660
708,70,1660
709,78,1660
710,82,1660
711,88,1660
712,92,1660
713,56,478
714,88,478
715,84,1660
716,86,1660
717,80,1660
718,22,1660
719,100,1660
720,54,1661
721,54,268
722,50,306
723,88,328
724,54,326
725,88,342
726,88,1404
727,88,770
728,48,1662
729,50,1662
730,98,1663
731,16,1004
732,98,1004
733,16,252
734,98,252
735,16,1008
736,98,1008
737,16,1010
738,98,1010
739,16,1664
740,98,1664
741,16,1665
742,98,1665
743,16,982
744,98,982
745,16,980
746,64,52
747,92,52
748,18,150
749,64,150
750,68,150
751,92,150
752,64,306
753,66,306
754,92,306
755,64,694
756,66,694
757,92,694
758,64,176
759,66,176
760,92,176
761,22,816
762,22,876
763,22,148
764,22,592
765,22,1256
766,22,1666
767,2,1666
768,16,748
769,16,530
770,16,962
771,20,962
772,98,996
773,16,968
774,98,968
775,16,950
776,20,950
777,98,946
778,98,1048
779,98,1046
780,98,1014
781,16,1046
782,16,1014
783,98,1044
784,16,1150
786,16,1667
787,98,1668
788,16,1669
789,98,1669
790,2,570
791,80,512
792,82,512
793,78,510
794,32,1512
795,78,1670
796,32,1086
797,38,1086
798,40,1086
799,42,1086
800,44,1086
801,46,1086
802,60,1086
803,62,1086
804,64,1086
805,66,1086
806,70,1086
807,90,1086
808,92,1086
809,96,1086
810,102,1086
811,18,1292
812,26,306
813,26,680
814,26,1284
815,78,1648
816,54,430
817,48,772
818,20,642
819,98,808
820,48,332
821,2,184
822,24,184
823,32,184
824,38,184
825,40,184
826,42,184
827,44,184
828,46,184
832,102,184
833,20,584
835,16,164
836,26,164
838,30,164
839,32,164
840,36,164
841,38,164
842,40,164
843,42,164
844,44,164
845,48,164
846,50,164
847,52,164
848,56,164
849,58,164
850,60,164
851,62,164
852,64,164
853,66,164
854,68,164
855,78,164
856,86,164
857,88,164
858,90,164
859,92,164
860,96,164
861,102,164
862,16,160
863,26,160
864,30,160
865,32,160
866,36,160
867,38,160
868,40,160
869,42,160
870,44,160
871,48,160
872,50,160
873,52,160
874,56,160
875,58,160
876,60,160
877,62,160
878,64,160
879,66,160
880,68,160
881,78,160
882,86,160
883,88,160
884,90,160
885,92,160
886,96,160
887,100,160
888,102,160
889,16,138
890,26,138
891,30,138
892,32,138
893,36,138
894,38,138
895,40,138
896,42,138
897,44,138
898,48,138
899,50,138
900,52,138
901,56,138
902,58,138
903,60,138
904,62,138
905,64,138
906,66,138
907,68,138
908,78,138
909,86,138
910,88,138
911,90,138
912,92,138
913,96,138
914,100,138
915,102,138
916,54,732
917,98,1671
918,44,934
919,68,934
920,98,934
921,26,1282
922,20,398
923,100,398
924,20,1672
925,16,1012
926,98,1673
927,98,1674
928,44,146
929,46,146
930,68,146
931,70,146
932,94,146
933,54,754
934,20,746
935,20,778
936,16,142
940,34,142
941,36,142
942,38,142
951,58,142
961,88,142
963,92,142
968,18,144
969,86,92
970,16,166
971,18,166
972,24,166
973,26,166
974,28,166
976,32,166
977,34,166
978,36,166
980,40,166
984,48,166
987,54,166
988,56,166
989,58,166
990,60,166
991,62,166
992,64,166
993,66,166
995,78,166
997,86,166
998,88,166
999,90,166
1000,92,166
1001,96,166
1002,100,166
1003,102,166
1004,80,1648
1005,82,1648
1006,54,276
1007,74,1675
1008,74,1676
1009,74,1677
1010,74,1678
1011,98,1679
1012,98,1680
1013,98,516
1014,32,52
1015,40,52
1016,42,52
1017,44,52
1018,46,52
1019,96,52
1020,66,52
1021,68,52
1022,70,52
1023,102,52
1024,60,52
1025,54,186
1026,88,1146
1027,2,144
1037,36,146
1042,50,146
1044,56,146
1045,58,146
1046,60,146
1052,86,146
1053,88,146
1055,92,146
1057,100,146
1061,24,148
1062,16,150
1064,24,150
1065,26,150
1066,28,150
1067,30,150
1068,32,150
1070,36,150
1071,38,150
1072,40,150
1073,42,150
1074,44,150
1075,46,150
1076,48,150
1077,50,150
1078,62,150
1079,66,150
1080,70,150
1081,78,150
1082,80,150
1083,82,150
1085,86,150
1086,90,150
1087,96,150
1088,100,150
1089,102,150
1090,74,1681
1091,22,1681
1092,24,1681
1093,26,1681
1094,28,1681
1095,30,1681
1096,32,1681
1097,38,1681
1098,40,1681
1099,42,1681
1100,48,1681
1101,50,1681
1102,52,1681
1104,60,1681
1105,64,1681
1106,78,1681
1107,80,1681
1108,82,1681
1109,84,1681
1110,86,1681
1111,88,1681
1112,90,1681
1113,92,1681
1114,96,1681
1115,100,1681
1116,102,1681
1117,64,686
1118,92,686
1119,2,152
1120,16,152
1121,22,152
1122,24,152
1123,26,152
1124,28,152
1125,30,152
1126,32,152
1127,34,152
1128,36,152
1129,40,152
1130,48,152
1131,50,152
1132,52,152
1133,56,152
1134,58,152
1135,60,152
1136,64,152
1137,78,152
1138,84,152
1139,86,152
1140,88,152
1141,90,152
1142,92,152
1143,96,152
1144,100,152
1145,102,152
1146,26,1648
1147,26,1660
1148,46,658
1149,54,658
1150,58,658
1151,88,658
1152,20,1682
1153,46,1682
1154,54,1682
1155,58,1682
1156,74,1682
1157,88,1682
1158,20,166
1159,20,164
1160,74,1683
1161,54,246
1162,16,942
1163,98,942
1164,16,522
1165,98,522
1166,16,1684
1167,98,1684
1168,16,1166
1169,98,1166
1170,98,528
1171,18,496
1172,18,550
1173,18,556
1174,18,1685
1175,18,628
1176,18,558
1177,18,626
1178,18,1240
1179,74,822
1180,38,830
1181,74,830
1182,42,152
1183,68,152
1184,74,910
1185,16,296
1186,74,296
1187,16,910
1188,74,1594
1189,16,170
1190,26,170
1191,28,170
1192,78,170
1193,2,172
1194,16,172
1195,24,172
1196,26,172
1197,28,172
1198,78,172
1199,86,172
1200,100,172
1201,2,170
1202,24,170
1204,86,170
1205,100,170
1206,16,292
1207,18,1686
1209,40,822
1210,42,822
1211,56,822
1213,60,822
1214,64,822
1215,66,822
1216,68,822
1217,88,822
1218,92,822
1219,96,822
1220,102,822
1221,20,1096
1222,100,1096
1223,18,1144
1224,84,350
1225,98,1086
1226,48,1687
1227,54,906
1228,98,906
1229,98,378
1230,48,376
1231,20,382
1232,34,292
1233,58,292
1234,48,390
1235,50,390
1236,46,1688
1238,46,386
1239,58,1388
1240,58,1660
1241,100,192
1242,30,306
1243,98,802
1244,98,804
1245,16,1648
1246,16,1660
1247,22,546
1248,32,224
1249,40,224
1250,42,224
1251,44,224
1252,46,224
1253,60,224
1254,64,224
1255,66,224
1256,68,224
1257,70,224
1258,92,224
1259,96,224
1260,102,224
1261,86,1516
1262,100,1516
1265,24,1116
1266,18,510
1267,20,510
1268,24,510
1269,2,1689
1270,20,1689
1271,20,644
1272,20,646
1273,20,1660
1274,16,1690
1275,18,1224
1276,94,164
1277,16,560
1278,98,560
1279,28,666
1280,16,864
1281,16,1691
1282,18,1238
1283,18,50
1284,56,1098
1285,98,1624
1290,98,894
1291,54,1586
1292,28,854
1293,68,306
1294,68,1692
1295,20,656
1296,20,148
1298,98,1098
1299,46,1098
1300,70,1098
1301,96,1098
1302,46,1693
1303,66,1693
1304,74,1693
1305,20,1694
1306,60,134
1307,64,134
1308,92,134
1309,60,1098
1310,16,294
1311,94,160
1312,16,536
1313,24,536
1314,2,1695
1315,20,1696
1316,20,1697
1317,16,1698
1318,98,1698
1319,46,1699
1320,70,1699
1321,54,452
1322,86,60
1323,100,60
1324,86,350
1325,54,1700
1326,54,134
1327,84,292
1328,54,1701
1329,16,1702
1330,84,1702
1331,16,1703
1332,26,1703
1333,52,1703
1334,60,1703
1335,64,1703
1336,66,1703
1337,68,1703
1338,16,1704
1339,48,1388
1340,50,1388
1341,20,1076
1342,90,1660
1343,66,1660
1344,94,1660
1345,90,224
1346,60,292
1347,92,292
1348,100,758
1349,54,756
1350,20,786
1351,20,788
1352,98,1705
1354,26,684
1356,54,306
1357,54,1574
1358,16,34
1359,24,34
1360,62,34
1361,98,538
1364,98,534
1365,98,1706
1366,98,1056
1367,78,350
1368,88,1707
1369,16,1154
1370,20,1566
1371,92,492
1372,24,1136
1373,26,1366
1374,70,1464
1375,60,1148
1376,88,466
1377,88,510
1378,56,468
1379,62,468
1380,68,1708
1381,68,1709
1382,56,464
1383,88,464
1384,98,1710
1385,98,1711
1386,18,1236
1387,74,1472
1388,74,1712
1389,88,1713
1390,88,1714
1391,74,288
1392,52,428
1393,52,730
1394,52,1084
1395,52,432
1396,52,1701
1397,52,756
1398,52,430
1399,52,186
1400,52,872
1401,52,326
1402,52,754
1403,52,434
1404,52,420
1405,52,418
1406,52,426
1407,18,146
1408,20,146
1409,54,146
1410,74,1715
1411,74,1716
1412,52,780
1413,54,780
1414,74,1717
1415,74,1632
1416,18,1718
1417,18,1719
1418,18,138
1419,20,650
1420,20,1382
1421,18,1720
1422,20,1720
1423,24,1720
1424,32,1720
1425,36,1720
1426,38,1720
1427,40,1720
1428,42,1720
1429,44,1720
1430,46,1720
1431,60,1720
1432,62,1720
1433,64,1720
1434,66,1720
1435,68,1720
1436,70,1720
1437,86,1720
1438,88,1720
1439,92,1720
1440,96,1720
1441,98,1720
1442,100,1720
1443,102,1720
1444,2,1720
1445,16,1720
1446,22,1720
1447,56,1720
1448,82,1641
1449,80,350
1450,82,350
1451,24,1432
1452,26,1432
1453,32,1432
1454,34,1432
1455,40,1432
1456,48,1432
1457,50,1432
1458,60,1432
1459,64,1432
1460,66,1432
1462,88,1432
1463,92,1432
1464,100,1432
1465,102,1432
1466,20,874
1467,74,1474
1468,46,1721
1469,70,1721
1470,2,1474
1471,16,1474
1473,24,1474
1474,26,1474
1475,28,1474
1476,30,1474
1477,32,1474
1478,34,1474
1479,38,1474
1480,40,1474
1481,42,1474
1482,44,1474
1483,46,1474
1484,48,1474
1485,50,1474
1486,52,1474
1487,56,1474
1488,58,1474
1489,60,1474
1490,62,1474
1491,64,1474
1492,66,1474
1493,68,1474
1494,70,1474
1495,78,1474
1497,86,1474
1498,88,1474
1499,90,1474
1500,92,1474
1501,96,1474
1502,100,1474
1503,102,1474
1504,16,1594
1505,24,1594
1506,26,1594
1507,28,1594
1508,30,1594
1509,32,1594
1510,34,1594
1511,38,1594
1512,40,1594
1513,42,1594
1514,44,1594
1515,46,1594
1516,48,1594
1517,50,1594
1518,52,1594
1519,56,1594
1520,58,1594
1521,60,1594
1522,62,1594
1523,64,1594
1524,66,1594
1525,68,1594
1526,70,1594
1527,78,1594
1529,86,1594
1530,88,1594
1531,90,1594
1532,92,1594
1533,96,1594
1534,100,1594
1535,102,1594
1536,2,796
1537,16,796
1538,22,796
1539,24,796
1540,26,796
1541,28,796
1542,30,796
1543,32,796
1544,34,796
1545,38,796
1546,40,796
1547,42,796
1548,44,796
1549,46,796
1550,48,796
1551,50,796
1552,52,796
1553,54,796
1554,56,796
1555,58,796
1556,60,796
1557,62,796
1558,64,796
1559,66,796
1560,68,796
1561,70,796
1562,78,796
1563,84,796
1564,86,796
1565,88,796
1566,90,796
1567,92,796
1568,96,796
1569,100,796
1570,102,796
1572,56,182
1573,60,182
1574,64,182
1575,78,182
1576,88,182
1577,92,182
1578,62,182
1579,90,182
1580,54,1631
1581,86,1264
1582,100,1264
1583,16,1722
1584,98,1722
1585,50,1723
1586,18,634
1587,2,1468
1588,18,624
1589,98,1724
1590,44,12
1591,68,12
1592,16,562
1593,98,562
1595,20,1725
1596,18,636
1597,20,1726
1598,2,138
1599,54,1727
1600,18,1212
1601,98,1728
1602,50,1729
1603,74,798
1604,74,1730
1605,38,1731
1606,44,1731
1607,62,1731
1608,68,1731
1609,74,1731
1610,94,1731
1611,18,1300
1612,74,1732
1613,18,1733
1614,74,1734
1615,46,8
1616,70,8
1617,20,660
1618,98,370
1619,18,1735
1620,16,1422
1622,20,858
1623,98,858
1624,2,1736
1626,98,1736
1627,20,938
1628,54,240
1629,98,240
1630,20,800
1631,54,800
1632,88,800
1633,78,532
1634,18,1667
1635,32,510
1636,48,356
1637,54,1728
1638,22,1737
1639,38,1737
1640,46,1737
1641,62,1737
1642,66,1737
1643,68,1737
1644,70,1737
1645,74,1737
1646,90,1737
1647,20,1738
1648,20,1739
1649,54,1740
1650,54,1741
1651,52,1741
1652,44,1742
1653,98,1743
1654,88,1744
1655,54,1388
1656,22,1745
1657,2,1746
1658,26,1746
1659,98,1746
1660,2,1747
1661,20,1748
1662,16,1749
