comment,classes
бессонница головная боль рвота вспыльчивость повышенное потоотделение раздражительность агрессия тремор дрожание ломота в теле одышка учащенное дыхание,абстинентное состояние
повышение температуры до 3839с повышение температуры выше 39с гнойник и,абсцесс
насморк заложенность носа головная боль храп дыхание через рот гнусавость,аденоиды
частое мочеиспускание ночью частое мочеиспускание слабый ток мочи при мочеиспускании мочеиспускание каплями чувство неполного опорожнения мочевого пузыря боль во время мочеиспускания мутность мочи моча с кровью утрудненное мочеиспускание,аденома простаты предстательной железы
полное или частичное отсутствие зубного ряда,адентия
головная боль повышение артериального давления повышенное потоотделение боль в суставах деформация сустава повышение уровня глюкозы в крови гипергликемия огрубление черт лица увеличение кистей рук увеличение стоп,акромегалия
снижение артериального давления слабость рвота тошнота повышенная усталость снижение массы тела желтушность желтушность склер мышечная слабость снижение полового влечения либидо сосудистые звездочки покраснение ладоней пальцы в виде барабанных палочек боли в области пупка увеличение груди нарушения эрекции отечность околоушных слюнных желез синяки центральное ожирение низ живота округлость и увеличение ногтей ограничение подвижности ладони расширение вен брюшной стенки,алкогольная болезнь печени
зуд жжение волдыри белорозового или красного цвета отечность покраснение волдыри ь,аллергический контактный дерматит
снижение остроты зрения наклон или поворот головы при взгляде на предмет,амблиопия
слабость рвота боль внизу живота тошнота повышение температуры до 38с снижение массы тела диарея урчание в животе метеоризм ложные позывы к дефекации увеличение печени стул в виде малинового желе,амебиаз
прекращение менструаций не связанное с беременностью нерегулярный менструальный цикл,аменорея
потеря счета времени потеря памяти,амнезия
потеря памяти,амнестический синдром
удушье бледность кожи судороги а потеря сознания обморок снижение артериального давления синюшность цианоз непроизвольное мочеиспускание,анафилактический шок
повышение артериального давления боль в области сердца повышенная усталость мышечная слабость утрудненное мочеиспускание боли в мочевом пузыре,андропауза
головная боль боль в области сердца,аневризма
уменьшенный размер зубов увеличенный размер зубов аномалии формы зубов,аномалии размеров и формы зубов
фригидность,аноргазмия
слабость прекращение менструаций не связанное с беременностью повышенная усталость снижение массы тела раздражительность снижение аппетита снижение полового влечения либидо потеря аппетита анорексия отказ от пищи рост пушистых волос на теле,анорексия
боль внизу живота боль в тазу зуд в заднем проходе боль во время дефекации зуд в области ануса рана в перианальной области боль в прямой кишке слизистогнойные выделения из перианальной области,аноректальный свищ
потеря сознания обморок синюшность цианоз боль в области сердца головокружение боли в грудной клетке одышка ощущение сердцебиения пульсация сонных артерий пульсация зрачков,аортальная недостаточность
потеря сознания обморок слабость головокружение учащение сердцебиения тахикардия боли в грудной клетке одышка ощущение сердцебиения,аортальный стеноз
потеря сознания обморок слабость головокружение одышка,апластическая анемия
остановка дыхательных движений,апноэ
рвота повышение температуры до 3839с боль внизу живота тошнота боль вверху живота сухость во рту учащение сердцебиения тахикардия потеря аппетита анорексия боли в области пупка,аппендицит
потеря сознания обморок головокружение учащение сердцебиения тахикардия боли в грудной клетке одышка ощущение сердцебиения замедленное сердцебиение брадикардия,аритмия сердца
головная боль повышение артериального давления головокружение,артериальная гипертензия
боль в суставах покраснение сустава деформация сустава отек сустава,артрит
онемение боль в суставах покраснение сустава деформация сустава утренняя скованность в суставах боли в бедре боли в колене боли в кистях рук отек сустава боли в пальцах рук,артроз остеоартроз
боль внизу живота тошнота повышение температуры до 38с снижение массы тела слюнотечение снижение аппетита сухой кашель зуд в области ануса,аскаридоз
головная боль снижение остроты зрения нечеткость зрения боль в глазах искажение зрения усталость глаз,астигматизм
бледность кожи бессонница повышение артериального давления нарушение памяти снижение остроты зрения головокружение повышенная усталость боли в пояснице боль за грудиной онемение боли в грудной клетке шум в ушах рассеяность внимания перемежающаяся хромота боль при ходьбе,атеросклероз
зуд сыпь сыпь красного цвета сухость расчесы покраснение утолщение кожи,атопический дерматит
социальная изоляция эмоциональная отрешенность бесцельные движения ритуальное поведение аутоагрессия потребность в однообразии неулыбчивость погружение в себя скудность мимики и жестикуляции,аутизм
тошнота снижение массы тела слюнотечение отрыжка изжога боль за грудиной боли в грудной клетке нарушение глотания срыгивание,ахалазия пищевода
боль во время мочеиспускания выделения из уретры язвы в области гениталий боль во время ходьбы зуд головки полового члена жжение головки полового члена покраснение головки полового члена увеличение лимфатических узлов в паху,баланит
зуд головки полового члена жжение головки полового члена отек крайней плоти покраснение головки полового члена,баланопостит
повышение температуры до 3839с боль во время полового акта боль во время ходьбы припухлость большой половой губы,бартолинит
рвота тошнота боль в паху запор икота метеоризм боли в бедре выпячивание в паховобедренной складке,бедренная грыжа
трудности с засыпанием неудовлетворительное качество сна,бессонница
бессонница повышение температуры до 38с слюнотечение агрессия нарушение поведения галлюцинации страх бред паралич гиперактивность водобоязнь воздухобоязнь аэрофобия,бешенство
бессонница потеря аппетита анорексия эйфория заторможенность мысли о суициде чувство вины возбужденное поведение быстрый темп речи патологическая отвлекаемость замедленная речь ступор бессвязная речь,биполярное аффективное расстройство маниакальнодепрессивный психоз
усталость глаз песок в глазах зуд века жжение века тяжесть век,блефарит
головная боль снижение остроты зрения усталость глаз снижение зрения вдаль прищуривание,близорукость миопия
судороги а снижение артериального давления рвота жажда нерегулярный менструальный цикл депрессия вспыльчивость тошнота боль вверху живота повышенная усталость снижение массы тела диарея раздражительность снижение аппетита учащение сердцебиения тахикардия мышечная слабость потеря аппетита анорексия трудность при глотании онемение тремор дрожание нарушения эрекции полиурия увеличение суточного объема мочи пятна на коже после пребывания на солнце тяга к кислому и соленому снижение уровня глюкозы в крови,болезнь аддисона
нарушение памяти плаксивость апатия агрессия нарушения координации нарушение речи нарушение поведения нарушение движения забывчивость трудности с запоминанием недержание мочи дезориентация галлюцинации,болезнь альцгеймера
снижение остроты зрения боли в пояснице боли в спине боль в шее скованность движений боль в суставах боли в бедре отек сустава боль в позвоночнике деформация позвоночника деформация позвоночника боли в ягодице,болезнь бехтерева анкилозирующий спондилит
повышение артериального давления нерегулярный менструальный цикл депрессия гирсутизм рост волос по мужскому типу мышечная слабость снижение полового влечения либидо эйфория нарушения эрекции повышение уровня глюкозы в крови гипергликемия стрии растяжки частые переломы лунообразное лицо ожирение верхней половины тела лицо багровокрасного цвета,болезнь иценкокушинга
слезотечение покраснение глаз головная боль слабость повышение температуры до 3839с увеличение лимфоузлов в подмышечной впадине снижение аппетита ломота в теле увеличение шейных лимфоузлов увеличение подчелюстных лимфоузлов увеличение лимфоузлов сыпь увеличение околоушных лимфоузлов,болезнь кошачьих царапин фелиноз
рвота повышение температуры до 3839с тошнота боль вверху живота повышенная усталость снижение массы тела диарея вздутие живота потеря аппетита анорексия,болезнь крона
слабость,болезнь лайма
снижение артериального давления рвота тошнота головокружение нарушения координации шум в ушах снижение слуха нарушение равновесия,болезнь меньера
бессонница депрессия повышенное потоотделение повышенная усталость слюнотечение повышение тонуса мышц ригидность сутулость нарушения координации нарушение движения дезориентация тремор дрожание кукольная походка мелкими шагами маскообразное лицо поза просителя туловище опережает ноги страх,болезнь паркинсона
нарушение памяти депрессия трудность при глотании апатия агрессия нарушения координации навязчивые идеи паника бесцельные движения непонятная речь непроизвольные движения мельтешение зрачков гиперсексуальность проблемы с контролем осанки,болезнь хантингтона
бледность кожи слабость повышение температуры до 3839с повышенная усталость снижение массы тела потеря аппетита анорексия увеличение лимфоузлов петехии точечные кровоизлияния ночное потение,болезнь ходжкина лимфогранулематоз
боль в молочной железе,боль в груди мастодиния
боли в спине онемение скованность движений стреляющая боль в спине боль в позвоночнике боли в конечностях боль при повороте туловища напряжение мышц спины,боль в спине дорсалгия
головокружение боль в шее малоподвижность головы боль в затылке,боль в шее цервикалгия
рвота снижение остроты зрения диарея сухость во рту колики в животе учащение сердцебиения тахикардия одышка нарушение дыхания,ботулизм
удушье тяжесть в грудной клетке свистящее дыхание хрипы в груди приступообразный кашель экспираторная одышка утруднен выдох,бронхиальная астма
синюшность цианоз хрипы в груди слабость повышение температуры до 38с сухой кашель одышка нарушение дыхания выпуклость ногтей,бронхиолит
удушье озноб повышенное потоотделение повышение температуры до 38с боли в грудной клетке сухой кашель кашель с мокротой одышка,бронхит
бессонница головная боль слабость раздражительность снижение аппетита повышение температуры выше 39с увеличение лимфоузлов,бруцеллез
ночные приступы голода приступообразное переедание постоянное чувство голода собственноручное вызывание рвоты,булимия
боль в суставах покраснение сустава отек сустава ограничение подвижности сустава локальное повышение температуры,бурсит
зуд гениталий выделения из влагалища бели боль во время полового акта боль во время мочеиспускания прозрачные выделения из влагалища,вагинит
нарушение чувствительности онемение расширение вен отеки ног судороги икроножных мышц боли в нижних конечностях трофические язвы голени и стоп тяжесть в ногах,варикоз
бесплодие боль в мошонке уменьшение яичка тяжесть в мошонке,варикоцеле
озноб боль в паху повышение температуры выше 39с преждевременное семяизвержение частое мочеиспускание боль в промежности кровь в сперме боль во время семяизвержения выделения из уретры боль в прямой кишке,везикулит
отеки ног сухость судороги икроножных мышц пигментация боли в нижних конечностях трофические язвы голени и стоп,венозная недостаточность
зуд повышение температуры до 3839с сыпь,ветрянка ветряная оспа
бородавки кондиломы,вирус папилломы человека впч
бородавки,вирусные бородавки
головная боль слабость рвота тошнота диарея повышение тонуса мышц ригидность повышение температуры выше 39с потеря аппетита анорексия мышечная боль,вирусный менингит
слабость депрессия повышенная усталость онемение снижение интеллекта яркокрасный цвет языка лакированный язык,витаминв12дефицитная анемия
нарушение чувствительности белые пятна на коже обесцвечивание волос гусиная кожа,витилиго
расщепление неба раздвоение язычка,волчья пасть
онемение боль в стопе боли в бедре стреляющая боль в ноге боли в ягодице,воспаление седалищного нерва ишиас
болезненность ногтя отечность пальца гноетечение изпод ногтя рана по краю ногтя,вросший ноготь
повышение тонуса мышц ригидность сутулость дезориентация тремор дрожание кукольная походка мелкими шагами маскообразное лицо поза просителя туловище опережает ноги заторможенность непонятная речь,вторичный паркинсонизм
зуд гениталий выделения из влагалища бели боль во время полового акта желтые выделения из влагалища прозрачные выделения из влагалища,вульвит
боль внизу живота зуд гениталий раздражение в области гениталий боль во время полового акта боль во время мочеиспускания зеленоватые влагалищные выделения пенистые влагалищные выделения влагалищные выделения с рыбным запахом,вульвовагинит
боль в суставах деформация сустава отек сустава кровоподтеки ограничение подвижности сустава,вывих сустава
дрожание радужки иридодонез,вывих хрусталика
боль внизу живота боль во время полового акта боли в пояснице запор боль во время мочеиспускания случайное мочеиспускание,выпадение матки и влагалища
бессонница насморк заложенность носа головная боль повышенная усталость повышение температуры до 38с гнусавость недомогание боль в пазухах носа боль в глазах,гайморит
снижение остроты зрения нерегулярный менструальный цикл гирсутизм рост волос по мужскому типу угри камедоны черные точки снижение полового влечения либидо увеличение груди нарушения эрекции сухость слизистой влагалища,галакторея
бледность кожи слабость рвота тошнота повышенное потоотделение снижение массы тела запор диарея раздражительность боль в желудке белый налет на языке слюнотечение сухость во рту тяжесть распирание желудка отрыжка изжога неприятный привкус урчание в животе вздутие живота икота,гастрит
бледность кожи бессонница рвота тошнота боль вверху живота снижение массы тела запор диарея тяжесть отрыжка снижение аппетита желтый налет на языке,гастродуоденит
рвота тошнота слюнотечение отрыжка изжога вздутие живота боль за грудиной боль в шее охриплость неприятный запах изо рта боль в горле кариес боли в левой половине грудной клетки боль в пищеводе,гастроэзофагеальная рефлюксная болезнь гэрб
рвота боль в подложечной области диарея отрыжка изжога урчание в животе вздутие живота,гастроэнтероколит
краснобагровые наросты на коже,гемангиома
судороги а слабость головокружение повышение температуры до 38с одышка увеличение печени,гемолитическая анемия
боль после опорожнения кишечника шишки кал с кровью зуд в заднем проходе кровотечение боль во время дефекации,геморрой
носовые кровотечения моча с кровью боль в суставах кровоподтеки синяки,гемофилия
бледность кожи бессонница повышение артериального давления бесплодие повышенное потоотделение учащение сердцебиения тахикардия тремор дрожание страх рассеяность внимания холодные и влажные ладони,генерализованное тревожное расстройство
зуд гениталий жжение при мочеиспускании язвы в области гениталий сыпь в области гениталий,генитальный герпес
слабость рвота тошнота повышенная усталость повышение температуры до 38с желтушность желтушность склер темный цвет мочи бесцветный кал боль в правом подреберье увеличение печени,гепатит g
зуд головная боль слабость рвота повышение температуры до 3839с тошнота запор снижение аппетита метеоризм желтушность желтушность склер темный цвет мочи бесцветный кал боль в правом подреберье горечь во рту недомогание неприятный запах изо рта увеличение печени,гепатит а
слабость рвота тошнота запор отрыжка вздутие живота метеоризм желтушность желтушность склер темный цвет мочи бесцветный кал боль в правом подреберье непереносимость жирной пищи горечь во рту сосудистые звездочки потеря аппетита анорексия носовые кровотечения покраснение ладоней неприятный запах изо рта увеличение печени стрии растяжки петехии точечные кровоизлияния отвращение к пищи,гепатит в
рвота тошнота боль вверху живота повышение температуры до 38с желтушность желтушность склер темный цвет мочи бесцветный кал боль в правом подреберье потеря аппетита анорексия увеличение печени,гепатит е
рвота тошнота боль вверху живота повышенная усталость повышение температуры до 38с желтушность желтушность склер темный цвет мочи бесцветный кал боль в правом подреберье потеря аппетита анорексия боль в суставах увеличение печени,гепатит с
зуд в носу повышение температуры до 38с зуд десен сыпь на губах зуд в области губ,герпес
судороги а бессонница головная боль рвота повышение артериального давления повышение массы тела нарушение памяти выделения с кровью снижение остроты зрения отечность жажда белок в моче,гестоз
зуд отечность полушаровидные узелки покраснение уплотнения е под кожей гноетечение болезненность участка кожи,гидраденит
слабость повышение артериального давления озноб отеки боли в пояснице повышение температуры выше 39с моча с кровью уменьшение объема мочи уплотнение в брюшной полости,гидронефроз
бесплодие увеличение мошонки нарушение полового акта нарушение мочеиспускания,гидроцеле
судороги а рвота увеличение окружности головы деформация черепа выбухание родничка частое запрокидывание головы слепота смещение глазных яблок,гидроцефалия
кровоточивость десен зуд десен покраснение десен неприятный запах изо рта,гингивит
увеличение груди тяжесть в грудных железах зуд в грудных железах,гинекомастия
судороги а головная боль повышение артериального давления жажда мышечная слабость частое мочеиспускание ночью онемение повышение уровня глюкозы в крови гипергликемия,гиперальдестеронизм
гиперактивность непродуктивная активность безрассудное поведение,гиперкинетические расстройства
бессонница слабость повышение артериального давления нарушение памяти депрессия плаксивость тошнота боль вверху живота снижение массы тела запор раздражительность неутолимая жажда потеря аппетита анорексия боль в стопе апатия нарушение поведения полиурия увеличение суточного объема мочи выпадение зубов,гиперпаратиреоз
маточные кровотечения межменструальные кровотечения обильные менструальные кровотечения,гиперплазия эндометрия
прекращение менструаций не связанное с беременностью задержка менструаций бесплодие снижение полового влечения либидо увеличение груди нарушения эрекции выделение молока из молочных желез,гиперпролактинемия
бессонница повышение артериального давления нерегулярный менструальный цикл плаксивость боль вверху живота повышенное потоотделение снижение массы тела запор диарея раздражительность желтушность мышечная слабость тремор дрожание усиленное сердцебиение нарушения эрекции повышение аппетита повышение уровня глюкозы в крови гипергликемия увеличение щитовидной железы тонкие волосы,гипертиреоз
приступообразный кашель нарушение дыхания нарушение глотания частые инфекции,гипертрофия миндалин
увеличение груди,гипертрофия молочной железы
увеличение яичка увеличение полового влечения,гиперфункция яичек
бледность кожи судороги а бессонница рвота нарушение памяти головокружение повышенное потоотделение нарушение чувствительности учащение сердцебиения тахикардия шум в ушах ухудшение ночного сумеречного зрения сыпь сухость ухудшение интеллекта снижение слуха ломкость ногтей кариес,гипопаратиреоз
обесцвечивание кожи,гипопигментация кожи
нарушение мочеиспускания,гипоспадия
бледность кожи головная боль слабость тошнота головокружение повышенное потоотделение раздражительность учащение сердцебиения тахикардия одышка рассеяность внимания сонливость склонность к укачиванию холодные кисти рук холодные стопы чувствительность к смене погоды вялость по утрам чувствительность к смене климатических условий,гипотензия
снижение артериального давления бессонница заложенность носа повышение массы тела нарушение памяти нерегулярный менструальный цикл отеки выпадение волос снижение аппетита боль за грудиной ломота в теле охриплость отек века одышка замедленное сердцебиение брадикардия мышечная боль тонкие волосы заторможенность понижение температуры непереносимость холода сухость одутловатость лица расслоение ногтевой пластины,гипотиреоз
снижение остроты зрения повышение внутриглазного давления уменьшение глазного яблока уменьшение глаза,гипотония глаза
снижение полового влечения либидо отсутствие семяизвержения нарушения эрекции отсутствие волос на лице высокий женский тембр голоса малоразвитые половые органы худощавое телосложение непропорциональное телосложение,гипофункция яичек гипогонадизм
боль в глазах затуманивание зрения радужные круги перед глазами боль в висках,глаукома
рвота повышение артериального давления отеки боль вверху живота боли в пояснице боль в желудке уменьшение объема мочи моча цвета мясных помоев,гломерулонефрит
белый налет на языке слюнотечение сухость во рту яркокрасный цвет языка сухость языка пощипывание языка лакированный язык непонятная речь понижение вкусовой чувствительности ощущение инородного тела складки на поверхности языка слущивание эпителия языка увеличение языка болезненность языка,глоссит
нарушение равновесия иллюзия движения при повороте головы,головокружение
боли в колене атрофия мышц бедра скованность движений в колене хруст в колене отек колена деформация колена,гонартроз артроз коленного сустава
выделения с кровью боль внизу живота желтые выделения из влагалища боль во время мочеиспускания выделения из уретры жжение при мочеиспускании межменструальные кровотечения,гонорея триппер
розовые пятна на коже круглой или овальной формы,грибок кожи дерматофития
головная боль слабость озноб повышенная усталость сухость во рту повышение температуры выше 39с ломота в теле сухой кашель,грипп
боль внизу живота боль вверху живота выпячивание в области брюшной стенки,грыжа передней брюшной стенки
слезотечение покраснение глаз боль в глазах отек века уплотнение слезного мешка гнойные выделения из слезного мешка,дакриоцистит
головная боль снижение остроты зрения усталость глаз снижение зрения вблизи,дальнозоркость гиперметропия
снижение остроты зрения,дальтонизм ахроматопсия
слезотечение покраснение глаз снижение остроты зрения светобоязнь боль в глазах песок в глазах помутнение роговицы,дегенерация роговицы
дезориентация галлюцинации бред,делирий
нарушение памяти нарушения координации нарушение речи нарушение поведения нарушение движения забывчивость трудности с запоминанием дезориентация потеря счета времени,деменция
бессонница боль в области сердца повышенная усталость запор раздражительность снижение аппетита апатия нарушение поведения,депрессия
зуд жжение шелушение кожи сыпь покраснение утолщение кожи,дерматит
мышечная слабость учащенное дыхание ограничение подвижности сустава лиловокрасная сыпь на веках лиловокрасная сыпь по типу шали слабость мышц плеча слабость мышц шеи слабость мышц таза,дерматополимиозит
повышение температуры до 3839с увеличение подчелюстных лимфоузлов сыпь,детская розеола
судороги а снижение остроты зрения повышение тонуса мышц ригидность недержание мочи снижение слуха кариес отставание в развитии бесцельные движения непонятная речь непроизвольные движения нарушение глотания тугоподвижность суставов перекрещение ног перекос таза глухота косоглазие неконтролируемая дефекация укорочение конечности отсутствие интереса к игрушкам сохранение врожденных рефлексов у ребенка,детский церебральный паралич
головная боль снижение остроты зрения головокружение скованность движений перемежающаяся хромота боль при ходьбе боли в бедре боль в позвоночнике стреляющая боль в ноге,деформирующий спондилез
снижение остроты зрения пелена перед глазами плавающие пятна перед глазами,диабетическая ретинопатия
боль вверху живота отрыжка изжога боль в правом подреберье боль в левом подреберье боли в грудной клетке одышка бульканье в грудной клетке,диафрагмальная грыжа
головная боль рвота озноб повышение температуры до 3839с боль внизу живота тошнота белый налет на языке снижение аппетита зловонный кал ломота в теле стул зеленого цвета ложные позывы к дефекации,дизентерия шигеллез
диарея урчание в животе вздутие живота снижение аппетита метеоризм,дисбактериоз
отрыжка боль при глотании боль за грудиной боли в грудной клетке нарушение глотания боль в пищеводе жжение за грудиной,дискинезия пищевода
удушье головная боль слабость боль внизу живота тошнота,дисменорея
тошнота боль в подложечной области распирание желудка тяжесть в подложечной области,диспепсия
дополнительная складка ассиметрия ягодиц укорочение бедра,дисплазия тазобедренных суставов
нарушение восприятия самого себя расщепление личности внезапная амнезия,диссоциативные конверсионные расстройства
прекращение менструаций не связанное с беременностью боль внизу живота нерегулярный менструальный цикл болезненные менструации маточные кровотечения бесплодие межменструальные кровотечения невынашивание беременности,дисфункция яичников
бессонница головная боль нарушение памяти депрессия головокружение раздражительность шум рассеяность внимания,дисциркуляторная энцефалопатия
