disease,symptoms
абстинентное состояние,бессонница головная боль рвота вспыльчивость повышенное потоотделение раздражительность агрессия тремор дрожание ломота в теле одышка учащенное дыхание
абсцесс,повышение температуры до 3839с повышение температуры выше 39с гнойник и
аденоиды,насморк заложенность носа головная боль храп дыхание через рот гнусавость
аденома простаты предстательной железы,частое мочеиспускание ночью частое мочеиспускание слабый ток мочи при мочеиспускании мочеиспускание каплями чувство неполного опорожнения мочевого пузыря боль во время мочеиспускания мутность мочи моча с кровью утрудненное мочеиспускание
адентия,полное или частичное отсутствие зубного ряда
акромегалия,головная боль повышение артериального давления повышенное потоотделение боль в суставах деформация сустава повышение уровня глюкозы в крови гипергликемия огрубление черт лица увеличение кистей рук увеличение стоп
алкогольная болезнь печени,снижение артериального давления слабость рвота тошнота повышенная усталость снижение массы тела желтушность желтушность склер мышечная слабость снижение полового влечения либидо сосудистые звездочки покраснение ладоней пальцы в виде барабанных палочек боли в области пупка увеличение груди нарушения эрекции отечность околоушных слюнных желез синяки центральное ожирение низ живота округлость и увеличение ногтей ограничение подвижности ладони расширение вен брюшной стенки
аллергический контактный дерматит,зуд жжение волдыри белорозового или красного цвета отечность покраснение волдыри ь
амблиопия,снижение остроты зрения наклон или поворот головы при взгляде на предмет
амебиаз,слабость рвота боль внизу живота тошнота повышение температуры до 38с снижение массы тела диарея урчание в животе метеоризм ложные позывы к дефекации увеличение печени стул в виде малинового желе
аменорея,прекращение менструаций не связанное с беременностью нерегулярный менструальный цикл
амнезия,потеря счета времени потеря памяти
амнестический синдром,потеря памяти
анафилактический шок,удушье бледность кожи судороги а потеря сознания обморок снижение артериального давления синюшность цианоз непроизвольное мочеиспускание
андропауза,повышение артериального давления боль в области сердца повышенная усталость мышечная слабость утрудненное мочеиспускание боли в мочевом пузыре
аневризма,головная боль боль в области сердца
аномалии размеров и формы зубов,уменьшенный размер зубов увеличенный размер зубов аномалии формы зубов
аноргазмия,фригидность
анорексия,слабость прекращение менструаций не связанное с беременностью повышенная усталость снижение массы тела раздражительность снижение аппетита снижение полового влечения либидо потеря аппетита анорексия отказ от пищи рост пушистых волос на теле
аноректальный свищ,боль внизу живота боль в тазу зуд в заднем проходе боль во время дефекации зуд в области ануса рана в перианальной области боль в прямой кишке слизистогнойные выделения из перианальной области
аортальная недостаточность,потеря сознания обморок синюшность цианоз боль в области сердца головокружение боли в грудной клетке одышка ощущение сердцебиения пульсация сонных артерий пульсация зрачков
аортальный стеноз,потеря сознания обморок слабость головокружение учащение сердцебиения тахикардия боли в грудной клетке одышка ощущение сердцебиения
апластическая анемия,потеря сознания обморок слабость головокружение одышка
апноэ,остановка дыхательных движений
аппендицит,рвота повышение температуры до 3839с боль внизу живота тошнота боль вверху живота сухость во рту учащение сердцебиения тахикардия потеря аппетита анорексия боли в области пупка
аритмия сердца,потеря сознания обморок головокружение учащение сердцебиения тахикардия боли в грудной клетке одышка ощущение сердцебиения замедленное сердцебиение брадикардия
артериальная гипертензия,головная боль повышение артериального давления головокружение
артрит,боль в суставах покраснение сустава деформация сустава отек сустава
артроз остеоартроз,онемение боль в суставах покраснение сустава деформация сустава утренняя скованность в суставах боли в бедре боли в колене боли в кистях рук отек сустава боли в пальцах рук
аскаридоз,боль внизу живота тошнота повышение температуры до 38с снижение массы тела слюнотечение снижение аппетита сухой кашель зуд в области ануса
астигматизм,головная боль снижение остроты зрения нечеткость зрения боль в глазах искажение зрения усталость глаз
атеросклероз,бледность кожи бессонница повышение артериального давления нарушение памяти снижение остроты зрения головокружение повышенная усталость боли в пояснице боль за грудиной онемение боли в грудной клетке шум в ушах рассеяность внимания перемежающаяся хромота боль при ходьбе
атопический дерматит,зуд сыпь сыпь красного цвета сухость расчесы покраснение утолщение кожи
аутизм,социальная изоляция эмоциональная отрешенность бесцельные движения ритуальное поведение аутоагрессия потребность в однообразии неулыбчивость погружение в себя скудность мимики и жестикуляции
ахалазия пищевода,тошнота снижение массы тела слюнотечение отрыжка изжога боль за грудиной боли в грудной клетке нарушение глотания срыгивание
баланит,боль во время мочеиспускания выделения из уретры язвы в области гениталий боль во время ходьбы зуд головки полового члена жжение головки полового члена покраснение головки полового члена увеличение лимфатических узлов в паху
баланопостит,зуд головки полового члена жжение головки полового члена отек крайней плоти покраснение головки полового члена
бартолинит,повышение температуры до 3839с боль во время полового акта боль во время ходьбы припухлость большой половой губы
бедренная грыжа,рвота тошнота боль в паху запор икота метеоризм боли в бедре выпячивание в паховобедренной складке
бессонница,трудности с засыпанием неудовлетворительное качество сна
бешенство,бессонница повышение температуры до 38с слюнотечение агрессия нарушение поведения галлюцинации страх бред паралич гиперактивность водобоязнь воздухобоязнь аэрофобия
биполярное аффективное расстройство маниакальнодепрессивный психоз,бессонница потеря аппетита анорексия эйфория заторможенность мысли о суициде чувство вины возбужденное поведение быстрый темп речи патологическая отвлекаемость замедленная речь ступор бессвязная речь
блефарит,усталость глаз песок в глазах зуд века жжение века тяжесть век
близорукость миопия,головная боль снижение остроты зрения усталость глаз снижение зрения вдаль прищуривание
болезнь аддисона,судороги а снижение артериального давления рвота жажда нерегулярный менструальный цикл депрессия вспыльчивость тошнота боль вверху живота повышенная усталость снижение массы тела диарея раздражительность снижение аппетита учащение сердцебиения тахикардия мышечная слабость потеря аппетита анорексия трудность при глотании онемение тремор дрожание нарушения эрекции полиурия увеличение суточного объема мочи пятна на коже после пребывания на солнце тяга к кислому и соленому снижение уровня глюкозы в крови
болезнь альцгеймера,нарушение памяти плаксивость апатия агрессия нарушения координации нарушение речи нарушение поведения нарушение движения забывчивость трудности с запоминанием недержание мочи дезориентация галлюцинации
болезнь бехтерева анкилозирующий спондилит,снижение остроты зрения боли в пояснице боли в спине боль в шее скованность движений боль в суставах боли в бедре отек сустава боль в позвоночнике деформация позвоночника деформация позвоночника боли в ягодице
болезнь иценкокушинга,повышение артериального давления нерегулярный менструальный цикл депрессия гирсутизм рост волос по мужскому типу мышечная слабость снижение полового влечения либидо эйфория нарушения эрекции повышение уровня глюкозы в крови гипергликемия стрии растяжки частые переломы лунообразное лицо ожирение верхней половины тела лицо багровокрасного цвета
болезнь кошачьих царапин фелиноз,слезотечение покраснение глаз головная боль слабость повышение температуры до 3839с увеличение лимфоузлов в подмышечной впадине снижение аппетита ломота в теле увеличение шейных лимфоузлов увеличение подчелюстных лимфоузлов увеличение лимфоузлов сыпь увеличение околоушных лимфоузлов
болезнь крона,рвота повышение температуры до 3839с тошнота боль вверху живота повышенная усталость снижение массы тела диарея вздутие живота потеря аппетита анорексия
болезнь лайма,слабость
болезнь меньера,снижение артериального давления рвота тошнота головокружение нарушения координации шум в ушах снижение слуха нарушение равновесия
болезнь паркинсона,бессонница депрессия повышенное потоотделение повышенная усталость слюнотечение повышение тонуса мышц ригидность сутулость нарушения координации нарушение движения дезориентация тремор дрожание кукольная походка мелкими шагами маскообразное лицо поза просителя туловище опережает ноги страх
болезнь хантингтона,нарушение памяти депрессия трудность при глотании апатия агрессия нарушения координации навязчивые идеи паника бесцельные движения непонятная речь непроизвольные движения мельтешение зрачков гиперсексуальность проблемы с контролем осанки
болезнь ходжкина лимфогранулематоз,бледность кожи слабость повышение температуры до 3839с повышенная усталость снижение массы тела потеря аппетита анорексия увеличение лимфоузлов петехии точечные кровоизлияния ночное потение
боль в груди мастодиния,боль в молочной железе
боль в спине дорсалгия,боли в спине онемение скованность движений стреляющая боль в спине боль в позвоночнике боли в конечностях боль при повороте туловища напряжение мышц спины
боль в шее цервикалгия,головокружение боль в шее малоподвижность головы боль в затылке
ботулизм,рвота снижение остроты зрения диарея сухость во рту колики в животе учащение сердцебиения тахикардия одышка нарушение дыхания
бронхиальная астма,удушье тяжесть в грудной клетке свистящее дыхание хрипы в груди приступообразный кашель экспираторная одышка утруднен выдох
бронхиолит,синюшность цианоз хрипы в груди слабость повышение температуры до 38с сухой кашель одышка нарушение дыхания выпуклость ногтей
бронхит,удушье озноб повышенное потоотделение повышение температуры до 38с боли в грудной клетке сухой кашель кашель с мокротой одышка
бруцеллез,бессонница головная боль слабость раздражительность снижение аппетита повышение температуры выше 39с увеличение лимфоузлов
булимия,ночные приступы голода приступообразное переедание постоянное чувство голода собственноручное вызывание рвоты
бурсит,боль в суставах покраснение сустава отек сустава ограничение подвижности сустава локальное повышение температуры
вагинит,зуд гениталий выделения из влагалища бели боль во время полового акта боль во время мочеиспускания прозрачные выделения из влагалища
варикоз,нарушение чувствительности онемение расширение вен отеки ног судороги икроножных мышц боли в нижних конечностях трофические язвы голени и стоп тяжесть в ногах
варикоцеле,бесплодие боль в мошонке уменьшение яичка тяжесть в мошонке
везикулит,озноб боль в паху повышение температуры выше 39с преждевременное семяизвержение частое мочеиспускание боль в промежности кровь в сперме боль во время семяизвержения выделения из уретры боль в прямой кишке
венозная недостаточность,отеки ног сухость судороги икроножных мышц пигментация боли в нижних конечностях трофические язвы голени и стоп
ветрянка ветряная оспа,зуд повышение температуры до 3839с сыпь
вирус папилломы человека впч,бородавки кондиломы
вирусные бородавки,бородавки
вирусный менингит,головная боль слабость рвота тошнота диарея повышение тонуса мышц ригидность повышение температуры выше 39с потеря аппетита анорексия мышечная боль
витаминв12дефицитная анемия,слабость депрессия повышенная усталость онемение снижение интеллекта яркокрасный цвет языка лакированный язык
витилиго,нарушение чувствительности белые пятна на коже обесцвечивание волос гусиная кожа
волчья пасть,расщепление неба раздвоение язычка
воспаление седалищного нерва ишиас,онемение боль в стопе боли в бедре стреляющая боль в ноге боли в ягодице
вросший ноготь,болезненность ногтя отечность пальца гноетечение изпод ногтя рана по краю ногтя
вторичный паркинсонизм,повышение тонуса мышц ригидность сутулость дезориентация тремор дрожание кукольная походка мелкими шагами маскообразное лицо поза просителя туловище опережает ноги заторможенность непонятная речь
вульвит,зуд гениталий выделения из влагалища бели боль во время полового акта желтые выделения из влагалища прозрачные выделения из влагалища
вульвовагинит,боль внизу живота зуд гениталий раздражение в области гениталий боль во время полового акта боль во время мочеиспускания зеленоватые влагалищные выделения пенистые влагалищные выделения влагалищные выделения с рыбным запахом
вывих сустава,боль в суставах деформация сустава отек сустава кровоподтеки ограничение подвижности сустава
вывих хрусталика,дрожание радужки иридодонез
выпадение матки и влагалища,боль внизу живота боль во время полового акта боли в пояснице запор боль во время мочеиспускания случайное мочеиспускание
гайморит,бессонница насморк заложенность носа головная боль повышенная усталость повышение температуры до 38с гнусавость недомогание боль в пазухах носа боль в глазах
галакторея,снижение остроты зрения нерегулярный менструальный цикл гирсутизм рост волос по мужскому типу угри камедоны черные точки снижение полового влечения либидо увеличение груди нарушения эрекции сухость слизистой влагалища
гастрит,бледность кожи слабость рвота тошнота повышенное потоотделение снижение массы тела запор диарея раздражительность боль в желудке белый налет на языке слюнотечение сухость во рту тяжесть распирание желудка отрыжка изжога неприятный привкус урчание в животе вздутие живота икота
гастродуоденит,бледность кожи бессонница рвота тошнота боль вверху живота снижение массы тела запор диарея тяжесть отрыжка снижение аппетита желтый налет на языке
гастроэзофагеальная рефлюксная болезнь гэрб,рвота тошнота слюнотечение отрыжка изжога вздутие живота боль за грудиной боль в шее охриплость неприятный запах изо рта боль в горле кариес боли в левой половине грудной клетки боль в пищеводе
гастроэнтероколит,рвота боль в подложечной области диарея отрыжка изжога урчание в животе вздутие живота
гемангиома,краснобагровые наросты на коже
гемолитическая анемия,судороги а слабость головокружение повышение температуры до 38с одышка увеличение печени
геморрой,боль после опорожнения кишечника шишки кал с кровью зуд в заднем проходе кровотечение боль во время дефекации
гемофилия,носовые кровотечения моча с кровью боль в суставах кровоподтеки синяки
генерализованное тревожное расстройство,бледность кожи бессонница повышение артериального давления бесплодие повышенное потоотделение учащение сердцебиения тахикардия тремор дрожание страх рассеяность внимания холодные и влажные ладони
генитальный герпес,зуд гениталий жжение при мочеиспускании язвы в области гениталий сыпь в области гениталий
гепатит g,слабость рвота тошнота повышенная усталость повышение температуры до 38с желтушность желтушность склер темный цвет мочи бесцветный кал боль в правом подреберье увеличение печени
гепатит а,зуд головная боль слабость рвота повышение температуры до 3839с тошнота запор снижение аппетита метеоризм желтушность желтушность склер темный цвет мочи бесцветный кал боль в правом подреберье горечь во рту недомогание неприятный запах изо рта увеличение печени
гепатит в,слабость рвота тошнота запор отрыжка вздутие живота метеоризм желтушность желтушность склер темный цвет мочи бесцветный кал боль в правом подреберье непереносимость жирной пищи горечь во рту сосудистые звездочки потеря аппетита анорексия носовые кровотечения покраснение ладоней неприятный запах изо рта увеличение печени стрии растяжки петехии точечные кровоизлияния отвращение к пищи
гепатит е,рвота тошнота боль вверху живота повышение температуры до 38с желтушность желтушность склер темный цвет мочи бесцветный кал боль в правом подреберье потеря аппетита анорексия увеличение печени
гепатит с,рвота тошнота боль вверху живота повышенная усталость повышение температуры до 38с желтушность желтушность склер темный цвет мочи бесцветный кал боль в правом подреберье потеря аппетита анорексия боль в суставах увеличение печени
герпес,зуд в носу повышение температуры до 38с зуд десен сыпь на губах зуд в области губ
гестоз,судороги а бессонница головная боль рвота повышение артериального давления повышение массы тела нарушение памяти выделения с кровью снижение остроты зрения отечность жажда белок в моче
гидраденит,зуд отечность полушаровидные узелки покраснение уплотнения е под кожей гноетечение болезненность участка кожи
гидронефроз,слабость повышение артериального давления озноб отеки боли в пояснице повышение температуры выше 39с моча с кровью уменьшение объема мочи уплотнение в брюшной полости
гидроцеле,бесплодие увеличение мошонки нарушение полового акта нарушение мочеиспускания
гидроцефалия,судороги а рвота увеличение окружности головы деформация черепа выбухание родничка частое запрокидывание головы слепота смещение глазных яблок
гингивит,кровоточивость десен зуд десен покраснение десен неприятный запах изо рта
гинекомастия,увеличение груди тяжесть в грудных железах зуд в грудных железах
гиперальдестеронизм,судороги а головная боль повышение артериального давления жажда мышечная слабость частое мочеиспускание ночью онемение повышение уровня глюкозы в крови гипергликемия
гиперкинетические расстройства,гиперактивность непродуктивная активность безрассудное поведение
гиперпаратиреоз,бессонница слабость повышение артериального давления нарушение памяти депрессия плаксивость тошнота боль вверху живота снижение массы тела запор раздражительность неутолимая жажда потеря аппетита анорексия боль в стопе апатия нарушение поведения полиурия увеличение суточного объема мочи выпадение зубов
гиперплазия эндометрия,маточные кровотечения межменструальные кровотечения обильные менструальные кровотечения
гиперпролактинемия,прекращение менструаций не связанное с беременностью задержка менструаций бесплодие снижение полового влечения либидо увеличение груди нарушения эрекции выделение молока из молочных желез
гипертиреоз,бессонница повышение артериального давления нерегулярный менструальный цикл плаксивость боль вверху живота повышенное потоотделение снижение массы тела запор диарея раздражительность желтушность мышечная слабость тремор дрожание усиленное сердцебиение нарушения эрекции повышение аппетита повышение уровня глюкозы в крови гипергликемия увеличение щитовидной железы тонкие волосы
гипертрофия миндалин,приступообразный кашель нарушение дыхания нарушение глотания частые инфекции
гипертрофия молочной железы,увеличение груди
гиперфункция яичек,увеличение яичка увеличение полового влечения
гипопаратиреоз,бледность кожи судороги а бессонница рвота нарушение памяти головокружение повышенное потоотделение нарушение чувствительности учащение сердцебиения тахикардия шум в ушах ухудшение ночного сумеречного зрения сыпь сухость ухудшение интеллекта снижение слуха ломкость ногтей кариес
гипопигментация кожи,обесцвечивание кожи
гипоспадия,нарушение мочеиспускания
гипотензия,бледность кожи головная боль слабость тошнота головокружение повышенное потоотделение раздражительность учащение сердцебиения тахикардия одышка рассеяность внимания сонливость склонность к укачиванию холодные кисти рук холодные стопы чувствительность к смене погоды вялость по утрам чувствительность к смене климатических условий
гипотиреоз,снижение артериального давления бессонница заложенность носа повышение массы тела нарушение памяти нерегулярный менструальный цикл отеки выпадение волос снижение аппетита боль за грудиной ломота в теле охриплость отек века одышка замедленное сердцебиение брадикардия мышечная боль тонкие волосы заторможенность понижение температуры непереносимость холода сухость одутловатость лица расслоение ногтевой пластины
гипотония глаза,снижение остроты зрения повышение внутриглазного давления уменьшение глазного яблока уменьшение глаза
гипофункция яичек гипогонадизм,снижение полового влечения либидо отсутствие семяизвержения нарушения эрекции отсутствие волос на лице высокий женский тембр голоса малоразвитые половые органы худощавое телосложение непропорциональное телосложение
глаукома,боль в глазах затуманивание зрения радужные круги перед глазами боль в висках
гломерулонефрит,рвота повышение артериального давления отеки боль вверху живота боли в пояснице боль в желудке уменьшение объема мочи моча цвета мясных помоев
глоссит,белый налет на языке слюнотечение сухость во рту яркокрасный цвет языка сухость языка пощипывание языка лакированный язык непонятная речь понижение вкусовой чувствительности ощущение инородного тела складки на поверхности языка слущивание эпителия языка увеличение языка болезненность языка
головокружение,нарушение равновесия иллюзия движения при повороте головы
гонартроз артроз коленного сустава,боли в колене атрофия мышц бедра скованность движений в колене хруст в колене отек колена деформация колена
гонорея триппер,выделения с кровью боль внизу живота желтые выделения из влагалища боль во время мочеиспускания выделения из уретры жжение при мочеиспускании межменструальные кровотечения
грибок кожи дерматофития,розовые пятна на коже круглой или овальной формы
грипп,головная боль слабость озноб повышенная усталость сухость во рту повышение температуры выше 39с ломота в теле сухой кашель
грыжа передней брюшной стенки,боль внизу живота боль вверху живота выпячивание в области брюшной стенки
дакриоцистит,слезотечение покраснение глаз боль в глазах отек века уплотнение слезного мешка гнойные выделения из слезного мешка
дальнозоркость гиперметропия,головная боль снижение остроты зрения усталость глаз снижение зрения вблизи
дальтонизм ахроматопсия,снижение остроты зрения
дегенерация роговицы,слезотечение покраснение глаз снижение остроты зрения светобоязнь боль в глазах песок в глазах помутнение роговицы
делирий,дезориентация галлюцинации бред
деменция,нарушение памяти нарушения координации нарушение речи нарушение поведения нарушение движения забывчивость трудности с запоминанием дезориентация потеря счета времени
депрессия,бессонница боль в области сердца повышенная усталость запор раздражительность снижение аппетита апатия нарушение поведения
дерматит,зуд жжение шелушение кожи сыпь покраснение утолщение кожи
дерматополимиозит,мышечная слабость учащенное дыхание ограничение подвижности сустава лиловокрасная сыпь на веках лиловокрасная сыпь по типу шали слабость мышц плеча слабость мышц шеи слабость мышц таза
детская розеола,повышение температуры до 3839с увеличение подчелюстных лимфоузлов сыпь
детский церебральный паралич,судороги а снижение остроты зрения повышение тонуса мышц ригидность недержание мочи снижение слуха кариес отставание в развитии бесцельные движения непонятная речь непроизвольные движения нарушение глотания тугоподвижность суставов перекрещение ног перекос таза глухота косоглазие неконтролируемая дефекация укорочение конечности отсутствие интереса к игрушкам сохранение врожденных рефлексов у ребенка
деформирующий спондилез,головная боль снижение остроты зрения головокружение скованность движений перемежающаяся хромота боль при ходьбе боли в бедре боль в позвоночнике стреляющая боль в ноге
диабетическая ретинопатия,снижение остроты зрения пелена перед глазами плавающие пятна перед глазами
диафрагмальная грыжа,боль вверху живота отрыжка изжога боль в правом подреберье боль в левом подреберье боли в грудной клетке одышка бульканье в грудной клетке
дизентерия шигеллез,головная боль рвота озноб повышение температуры до 3839с боль внизу живота тошнота белый налет на языке снижение аппетита зловонный кал ломота в теле стул зеленого цвета ложные позывы к дефекации
дисбактериоз,диарея урчание в животе вздутие живота снижение аппетита метеоризм
дискинезия пищевода,отрыжка боль при глотании боль за грудиной боли в грудной клетке нарушение глотания боль в пищеводе жжение за грудиной
дисменорея,удушье головная боль слабость боль внизу живота тошнота
диспепсия,тошнота боль в подложечной области распирание желудка тяжесть в подложечной области
дисплазия тазобедренных суставов,дополнительная складка ассиметрия ягодиц укорочение бедра
диссоциативные конверсионные расстройства,нарушение восприятия самого себя расщепление личности внезапная амнезия
дисфункция яичников,прекращение менструаций не связанное с беременностью боль внизу живота нерегулярный менструальный цикл болезненные менструации маточные кровотечения бесплодие межменструальные кровотечения невынашивание беременности
дисциркуляторная энцефалопатия,бессонница головная боль нарушение памяти депрессия головокружение раздражительность шум рассеяность внимания
